78-year-old,75-79-year-old,70-79-year-old,60-79-year-old,*-year-old
79-year-old,75-79-year-old,70-79-year-old,60-79-year-old,*-year-old
80-year-old,80-84-year-old,80-89-year-old,80-99-year-old,*-year-old
81-year-old,80-84-year-old,80-89-year-old,80-99-year-old,*-year-old
82-year-old,80-84-year-old,80-89-year-old,80-99-year-old,*-year-old
83-year-old,80-84-year-old,80-89-year-old,80-99-year-old,*-year-old
84-year-old,80-84-year-old,80-89-year-old,80-99-year-old,*-year-old
85-year-old,85-89-year-old,80-89-year-old,80-99-year-old,*-year-old
86-year-old,85-89-year-old,80-89-year-old,80-99-year-old,*-year-old
87-year-old,85-89-year-old,80-89-year-old,80-99-year-old,*-year-old
88-year-old,85-89-year-old,80-89-year-old,80-99-year-old,*-year-old
89-year-old,85-89-year-old,80-89-year-old,80-99-year-old,*-year-old
90-year-old,90-94-year-old,90-99-year-old,80-99-year-old,*-year-old
91-year-old,90-94-year-old,90-99-year-old,80-99-year-old,*-year-old
92-year-old,90-94-year-old,90-99-year-old,80-99-year-old,*-year-old
93-year-old,90-94-year-old,90-99-year-old,80-99-year-old,*-year-old
94-year-old,90-94-year-old,90-99-year-old,80-99-year-old,*-year-old
95-year-old,95-99-year-old,90-99-year-old,80-99-year-old,*-year-old
96-year-old,95-99-year-old,90-99-year-old,80-99-year-old,*-year-old
97-year-old,95-99-year-old,90-99-year-old,80-99-year-old,*-year-old
98-year-old,95-99-year-old,90-99-year-old,80-99-year-old,*-year-old
99-year-old,95-99-year-old,90-99-year-old,80-99-year-old,*-year-old
